,country,frequency,variable,value_x,value_y,count_percent
172,Netherlands,Never or rarely,talkAboutMaths,1393,2832,49.19
173,Netherlands,Sometimes,talkAboutMaths,1021,2832,36.05
174,Netherlands,Often,talkAboutMaths,334,2832,11.79
175,Netherlands,Always or almost always,talkAboutMaths,84,2832,2.97
176,New Zealand,Never or rarely,talkAboutMaths,1323,2773,47.71
177,New Zealand,Sometimes,talkAboutMaths,994,2773,35.85
178,New Zealand,Often,talkAboutMaths,367,2773,13.23
179,New Zealand,Always or almost always,talkAboutMaths,89,2773,3.21
180,Norway,Never or rarely,talkAboutMaths,1373,3030,45.31
181,Norway,Sometimes,talkAboutMaths,1284,3030,42.38
182,Norway,Often,talkAboutMaths,279,3030,9.21
183,Norway,Always or almost always,talkAboutMaths,94,3030,3.1
184,Perm(Russian Federation),Never or rarely,talkAboutMaths,215,1125,19.11
185,Perm(Russian Federation),Sometimes,talkAboutMaths,374,1125,33.24
186,Perm(Russian Federation),Often,talkAboutMaths,302,1125,26.84
187,Perm(Russian Federation),Always or almost always,talkAboutMaths,234,1125,20.8
188,Peru,Never or rarely,talkAboutMaths,447,3667,12.19
189,Peru,Sometimes,talkAboutMaths,1966,3667,53.61
190,Peru,Often,talkAboutMaths,801,3667,21.84
191,Peru,Always or almost always,talkAboutMaths,453,3667,12.35
192,Poland,Never or rarely,talkAboutMaths,811,3058,26.52
193,Poland,Sometimes,talkAboutMaths,1396,3058,45.65
194,Poland,Often,talkAboutMaths,665,3058,21.75
195,Poland,Always or almost always,talkAboutMaths,186,3058,6.08
196,Portugal,Never or rarely,talkAboutMaths,1538,3704,41.52
197,Portugal,Sometimes,talkAboutMaths,1518,3704,40.98
198,Portugal,Often,talkAboutMaths,525,3704,14.17
199,Portugal,Always or almost always,talkAboutMaths,123,3704,3.32
200,Qatar,Never or rarely,talkAboutMaths,1359,6637,20.48
201,Qatar,Sometimes,talkAboutMaths,1924,6637,28.99
202,Qatar,Often,talkAboutMaths,1948,6637,29.35
203,Qatar,Always or almost always,talkAboutMaths,1406,6637,21.18
204,Romania,Never or rarely,talkAboutMaths,909,3342,27.2
205,Romania,Sometimes,talkAboutMaths,1150,3342,34.41
206,Romania,Often,talkAboutMaths,817,3342,24.45
207,Romania,Always or almost always,talkAboutMaths,466,3342,13.94
208,Russian Federation,Never or rarely,talkAboutMaths,781,3444,22.68
209,Russian Federation,Sometimes,talkAboutMaths,1561,3444,45.33
210,Russian Federation,Often,talkAboutMaths,826,3444,23.98
211,Russian Federation,Always or almost always,talkAboutMaths,276,3444,8.01
212,Serbia,Never or rarely,talkAboutMaths,1049,3010,34.85
213,Serbia,Sometimes,talkAboutMaths,1230,3010,40.86
214,Serbia,Often,talkAboutMaths,519,3010,17.24
215,Serbia,Always or almost always,talkAboutMaths,212,3010,7.04
216,Singapore,Never or rarely,talkAboutMaths,616,3688,16.7
217,Singapore,Sometimes,talkAboutMaths,1735,3688,47.04
218,Singapore,Often,talkAboutMaths,1042,3688,28.25
219,Singapore,Always or almost always,talkAboutMaths,295,3688,8.0
